fips,year,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
01001,1995,352,377,444,606,729
01001,1996,364,389,459,626,753
01001,1997,375,401,473,645,776
01001,1998,385,412,486,662,797
01001,1999,393,420,496,675,813
01001,2000,395,422,499,679,818
01001,2001,402,429,507,691,832
01001,2002,414,441,522,711,856
01001,2003,424,453,535,729,878
01001,2004,425,454,537,731,881
01001,2005,440,517,583,776,1020
01001,2006,450,532,599,794,1049
01001,2007,468,553,623,826,1091
01001,2008,496,586,660,875,1156
01001,2009,530,627,706,936,1236
01001,2010,552,653,735,975,1287
01001,2011,552,653,735,975,1287
01001,2012,543,642,723,959,1266
01001,2013,629,665,790,1086,1291
01001,2014,566,597,710,976,1161
01001,2015,628,663,788,1084,1288
01001,2016,565,647,788,1029,1336
01001,2017,587,682,822,1054,1425
01001,2018,588,691,829,1055,1451
01001,2019,581,696,825,1043,1436
01001,2020,583,702,830,1047,1425
01001,2021,640,766,908,1148,1520
01001,2022,643,764,914,1156,1494
01001,2023,716,817,977,1241,1595
01003,1995,311,347,398,535,628
01003,1996,321,358,411,553,649
01003,1997,331,369,423,570,668
01003,1998,370,413,473,637,747
01003,1999,377,421,482,649,762
01003,2000,379,423,485,653,766
01003,2001,385,430,493,664,779
01003,2002,396,442,507,683,802
01003,2003,406,454,521,701,822
01003,2004,407,455,523,703,825
01003,2005,464,488,561,736,872
01003,2006,433,521,619,821,940
01003,2007,450,542,644,854,978
01003,2008,480,577,686,910,1041
01003,2009,512,616,733,972,1113
01003,2010,534,643,764,1013,1160
01003,2011,534,643,764,1013,1160
01003,2012,483,581,691,916,1049
01003,2013,472,615,729,1074,1261
01003,2014,536,698,827,1219,1431
01003,2015,494,643,762,1123,1318
01003,2016,719,754,873,1272,1472
01003,2017,807,847,977,1422,1634
01003,2018,729,762,879,1280,1471
01003,2019,756,773,888,1252,1501
01003,2020,744,749,916,1251,1566
01003,2021,718,723,922,1249,1584
01003,2022,772,777,1017,1348,1715
01003,2023,924,928,1206,1534,1971
01005,1995,154,220,282,390,462
01005,1996,234,278,332,430,492
01005,1997,237,281,336,435,498
01005,1998,242,287,343,444,509
01005,1999,245,291,347,450,516
01005,2000,245,291,347,450,516
01005,2001,247,294,350,454,521
01005,2002,253,302,359,466,535
01005,2003,261,311,370,480,550
