State,Year,Quarter,HPI
AK,1975,1,61.66
AK,1975,2,63.79
AK,1975,3,67.47
AK,1975,4,68.86
AK,1976,1,70.27
AK,1976,2,69.61
AK,1976,3,74.93
AK,1976,4,72.16
AK,1977,1,78.91
AK,1977,2,79.82
AK,1977,3,81.84
AK,1977,4,79.25
AK,1978,1,78.94
AK,1978,2,86.15
AK,1978,3,87.59
AK,1978,4,86.92
AK,1979,1,88.91
AK,1979,2,99.15
AK,1979,3,93.79
AK,1979,4,95.34
AK,1980,1,100.00
AK,1980,2,82.42
AK,1980,3,73.81
AK,1980,4,94.41
AK,1981,1,89.33
AK,1981,2,108.08
AK,1981,3,115.84
AK,1981,4,128.56
AK,1982,1,135.70
AK,1982,2,130.00
AK,1982,3,140.12
AK,1982,4,136.15
AK,1983,1,138.13
AK,1983,2,139.57
AK,1983,3,145.53
AK,1983,4,145.23
AK,1984,1,149.34
AK,1984,2,147.08
AK,1984,3,153.62
AK,1984,4,151.54
AK,1985,1,143.97
AK,1985,2,144.43
AK,1985,3,145.12
AK,1985,4,140.96
AK,1986,1,141.76
AK,1986,2,144.36
AK,1986,3,139.72
AK,1986,4,136.47
AK,1987,1,132.97
AK,1987,2,123.54
AK,1987,3,115.48
AK,1987,4,104.56
AK,1988,1,120.69
AK,1988,2,114.69
AK,1988,3,125.68
AK,1988,4,131.40
AK,1989,1,127.95
AK,1989,2,103.77
AK,1989,3,103.48
AK,1989,4,101.51
AK,1990,1,98.26
AK,1990,2,111.79
AK,1990,3,121.37
AK,1990,4,119.42
AK,1991,1,123.67
AK,1991,2,126.62
AK,1991,3,130.56
AK,1991,4,130.70
AK,1992,1,132.52
AK,1992,2,133.69
AK,1992,3,134.44
AK,1992,4,134.91
AK,1993,1,134.75
AK,1993,2,135.25
AK,1993,3,137.71
AK,1993,4,138.51
AK,1994,1,139.64
AK,1994,2,142.94
AK,1994,3,144.56
AK,1994,4,143.84
AK,1995,1,145.94
AK,1995,2,148.50
AK,1995,3,150.00
AK,1995,4,150.52
AK,1996,1,152.95
AK,1996,2,155.36
AK,1996,3,155.91
AK,1996,4,157.91
AK,1997,1,157.69
AK,1997,2,158.93
AK,1997,3,160.26
AK,1997,4,162.26
AK,1998,1,162.08
AK,1998,2,164.81
AK,1998,3,166.33
AK,1998,4,166.05
AK,1999,1,167.95
AK,1999,2,171.57
AK,1999,3,171.28
AK,1999,4,171.33
AK,2000,1,171.06
AK,2000,2,173.42
AK,2000,3,174.58
AK,2000,4,174.99
AK,2001,1,178.09
AK,2001,2,181.69
AK,2001,3,184.31
AK,2001,4,184.68
AK,2002,1,187.45
AK,2002,2,192.85
AK,2002,3,194.10
AK,2002,4,193.63
AK,2003,1,194.96
