areaname22,year,pop2010,pop2017,pop2000,statecode,fmr_0,price,fmr_2,fmr_3,fmr_4,statename,fips,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,pending_ratio,date,treated
"Columbia County, WI HUD Metro FMR Area",2016,56833,56790,52468,55,474,575,769,1116,1134,Wisconsin,55021,31540,"Madison, WI",78,299900,1651,87,308,124,532,815,139,2000,347668,2461,0.4936,2016-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2017,56833,56790,52468,55,501,594,790,1141,1163,Wisconsin,55021,31540,"Madison, WI",78,319900,1305,80,344,80,364,512,150,2000,376613,1815,0.3923,2017-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2018,56833,56790,52468,55,550,648,862,1246,1255,Wisconsin,55021,31540,"Madison, WI",78,329900,1408,74,340,140,532,750,156,1966,389055,2146,0.5327,2018-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2019,56833,56790,52468,55,558,657,869,1246,1250,Wisconsin,55021,31540,"Madison, WI",78,346400,1271,94,294,12,144,701,160,2009,405804,1967,0.5518,2019-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2020,56833,56790,52468,55,596,695,915,1296,1301,Wisconsin,55021,31540,"Madison, WI",78,362000,666,65,328,12,128,839,170,1900,438654,1500,1.2607,2020-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2021,56833,56790,52468,55,606,697,919,1306,1311,Wisconsin,55021,31540,"Madison, WI",78,387400,533,60,326,16,80,817,205,1790,458974,1345,1.5319,2021-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2022,56833,56790,52468,55,628,718,945,1342,1381,Wisconsin,55021,31540,"Madison, WI",78,424150,641,68,212,4,84,512,220,1930,522661,1152,0.7988,2022-12-01,FALSE
"Columbia County, WI HUD Metro FMR Area",2023,56833,56790,52468,55,685,778,1024,1455,1518,Wisconsin,55021,31540,"Madison, WI",78,479950,652,66,264,8,80,463,232,1982,565274,1115,0.7101,2023-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2016,279771,279210,275486,27,494,577,755,972,1124,Minnesota,27017,20260,"Duluth, MN-WI",167,159500,1727,120,180,8,160,292,105,1560,230133,2013,0.1691,2016-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2017,279771,279210,275486,27,520,603,771,1001,1201,Minnesota,27017,20260,"Duluth, MN-WI",167,159000,1412,110,140,4,120,282,107,1500,243008,1684,0.1997,2017-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2018,279771,279210,275486,27,592,662,848,1099,1364,Minnesota,27017,20260,"Duluth, MN-WI",167,174500,1317,104,164,48,280,295,117,1456,252744,1606,0.224,2018-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2019,279771,279210,275486,27,626,670,871,1121,1390,Minnesota,27017,20260,"Duluth, MN-WI",167,187000,1112,115,106,2,68,290,128,1443,261368,1392,0.2609,2019-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2020,279771,279210,275486,27,601,622,816,1052,1279,Minnesota,27017,20260,"Duluth, MN-WI",167,209613,567,78,142,2,74,403,140,1454,315882,951,0.7108,2020-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2021,279771,279210,275486,27,654,671,884,1141,1394,Minnesota,27017,20260,"Duluth, MN-WI",167,189175,326,69,152,4,68,371,136,1446,294682,688,1.1398,2021-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2022,279771,279210,275486,27,692,715,936,1221,1515,Minnesota,27017,20260,"Duluth, MN-WI",167,250000,429,77,96,0,52,235,166,1545,360895,659,0.5478,2022-12-01,FALSE
"Duluth, MN-WI HUD Metro FMR Area",2023,279771,279210,275486,27,780,838,1087,1435,1789,Minnesota,27017,20260,"Duluth, MN-WI",167,279000,487,66,140,4,100,265,176,1588,408067,749,0.5441,2023-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2016,20866,20825,21122,27,406,507,658,899,902,Minnesota,27045,40340,"Rochester, MN",205,240000,555,78,148,76,204,296,103,2466,294976,850,0.5333,2016-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2017,20866,20825,21122,27,432,517,681,935,939,Minnesota,27045,40340,"Rochester, MN",205,279900,557,79,152,68,200,264,109,2560,316464,817,0.474,2017-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2018,20866,20825,21122,27,445,525,697,946,949,Minnesota,27045,40340,"Rochester, MN",205,296450,638,81,108,4,44,276,132,2536,341416,906,0.4326,2018-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2019,20866,20825,21122,27,450,529,700,954,957,Minnesota,27045,40340,"Rochester, MN",205,298700,600,86,114,4,86,251,136,2152,355828,851,0.4187,2019-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2020,20866,20825,21122,27,469,542,714,989,1004,Minnesota,27045,40340,"Rochester, MN",205,292450,291,58,136,0,80,284,147,2062,391383,575,0.9776,2020-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2021,20866,20825,21122,27,553,557,734,1016,1054,Minnesota,27045,40340,"Rochester, MN",205,349900,303,58,148,6,50,289,166,2064,439082,591,0.9537,2021-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2022,20866,20825,21122,27,614,618,813,1112,1194,Minnesota,27045,40340,"Rochester, MN",205,381950,357,73,80,4,72,224,181,2085,451332,580,0.6275,2022-12-01,FALSE
"Fillmore County, MN HUD Metro FMR Area",2023,20866,20825,21122,27,659,663,873,1184,1323,Minnesota,27045,40340,"Rochester, MN",205,379900,431,69,144,0,80,252,186,2092,474629,689,0.5847,2023-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2016,268581,278385,246965,55,466,569,756,1037,1041,Wisconsin,55009,24580,"Green Bay, WI",154,179900,1457,85,176,4,128,58,96,1767,228768,1528,0.0398,2016-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2017,268581,278385,246965,55,474,557,738,1035,1039,Wisconsin,55009,24580,"Green Bay, WI",154,199900,1209,88,192,4,92,7,103,1764,252104,1215,0.0058,2017-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2018,268581,278385,246965,55,531,591,786,1113,1121,Wisconsin,55009,24580,"Green Bay, WI",154,230700,895,85,164,4,160,362,111,1796,280880,1246,0.4045,2018-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2019,268581,278385,246965,55,590,650,860,1215,1231,Wisconsin,55009,24580,"Green Bay, WI",154,266225,735,81,174,6,86,348,127,1791,309772,1078,0.4728,2019-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2020,268581,278385,246965,55,572,624,822,1160,1177,Wisconsin,55009,24580,"Green Bay, WI",154,271150,370,71,194,2,58,457,134,1737,351244,813,1.2368,2020-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2021,268581,278385,246965,55,630,680,892,1261,1275,Wisconsin,55009,24580,"Green Bay, WI",154,335900,302,60,160,6,36,388,168,1755,409136,680,1.2848,2021-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2022,268581,278385,246965,55,636,679,875,1200,1204,Wisconsin,55009,24580,"Green Bay, WI",154,408900,441,80,160,0,36,266,231,1664,473107,705,0.6032,2022-12-01,FALSE
"Green Bay, WI HUD Metro FMR Area",2023,268581,278385,246965,55,708,764,965,1292,1296,Wisconsin,55009,24580,"Green Bay, WI",154,424800,389,74,108,0,88,273,211,1912,540915,659,0.7018,2023-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2016,36842,36870,33647,55,471,505,671,914,978,Wisconsin,55045,31540,"Madison, WI",78,299900,1651,87,308,124,532,815,139,2000,347668,2461,0.4936,2016-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2017,36842,36870,33647,55,501,527,700,945,1022,Wisconsin,55045,31540,"Madison, WI",78,319900,1305,80,344,80,364,512,150,2000,376613,1815,0.3923,2017-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2018,36842,36870,33647,55,566,585,778,1062,1145,Wisconsin,55045,31540,"Madison, WI",78,329900,1408,74,340,140,532,750,156,1966,389055,2146,0.5327,2018-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2019,36842,36870,33647,55,588,590,781,1050,1143,Wisconsin,55045,31540,"Madison, WI",78,346400,1271,94,294,12,144,701,160,2009,405804,1967,0.5518,2019-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2020,36842,36870,33647,55,621,625,818,1102,1170,Wisconsin,55045,31540,"Madison, WI",78,362000,666,65,328,12,128,839,170,1900,438654,1500,1.2607,2020-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2021,36842,36870,33647,55,641,652,858,1121,1171,Wisconsin,55045,31540,"Madison, WI",78,387400,533,60,326,16,80,817,205,1790,458974,1345,1.5319,2021-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2022,36842,36870,33647,55,678,681,893,1139,1211,Wisconsin,55045,31540,"Madison, WI",78,424150,641,68,212,4,84,512,220,1930,522661,1152,0.7988,2022-12-01,FALSE
"Green County, WI HUD Metro FMR Area",2023,36842,36870,33647,55,719,726,955,1162,1283,Wisconsin,55045,31540,"Madison, WI",78,479950,652,66,264,8,80,463,232,1982,565274,1115,0.7101,2023-12-01,FALSE
