fips,year,total_units
01001,2000,142
01001,2001,NA
01001,2002,545
01001,2003,566
01001,2004,625
01001,2005,626
01001,2006,668
01001,2007,520
01001,2008,187
01001,2009,204
01001,2010,382
01001,2011,212
01001,2012,290
01001,2013,240
01001,2014,262
01001,2015,316
01001,2016,338
01001,2017,376
01001,2018,370
01001,2019,484
01001,2020,664
01001,2021,554
01001,2022,420
01001,2023,520
01001,2024,384
01003,2022,6206
01003,2023,6353
01003,2024,4008
01005,2022,40
01005,2023,128
01005,2024,58
01007,2004,4
01007,2005,6
01007,2006,13
01007,2007,21
01007,2008,102
01007,2009,17
01007,2010,15
01007,2011,16
01007,2012,17
01007,2013,22
01007,2014,19
01007,2015,29
01007,2016,12
01007,2017,12
01007,2018,17
01007,2019,25
01007,2020,73
01007,2021,22
01007,2022,18
01007,2023,8
01007,2024,4
01009,2004,156
01009,2005,98
01009,2006,179
01009,2007,72
01009,2008,41
01009,2009,26
01009,2010,36
01009,2011,4
01009,2012,12
01009,2013,8
01009,2014,6
01009,2015,98
01009,2016,32
01009,2017,33
01009,2018,26
01009,2019,49
01009,2020,45
01009,2021,46
01009,2022,32
01009,2023,31
01009,2024,11
01011,2022,0
01011,2023,0
01011,2024,0
01013,2022,3
01013,2023,0
01013,2024,8
01015,2022,139
01015,2023,107
01015,2024,166
01017,2022,30
01017,2023,35
01017,2024,41
01019,2022,92
01019,2023,18
01019,2024,16
01021,2004,102
01021,2005,267
01021,2006,259
01021,2007,137
01021,2008,64
01021,2009,38
01021,2010,35
01021,2011,31
01021,2012,32
01021,2013,39
01021,2014,153
01021,2015,38
01021,2016,46
01021,2017,87
01021,2018,184
01021,2019,55
01021,2020,82
01021,2021,296
01021,2022,298
01021,2023,59
01021,2024,38
01023,2022,0
01023,2023,0
01023,2024,0
01025,2022,3
01025,2023,1
01025,2024,4
01027,2022,4
01027,2023,15
01027,2024,6
01029,2022,0
01029,2023,2
01029,2024,3
01031,2022,221
01031,2023,207
01031,2024,170
01033,2022,186
01033,2023,125
01033,2024,108
01035,2022,2
01035,2023,4
01035,2024,1
01037,2004,0
01037,2005,88
01037,2006,10
01037,2007,0
01037,2008,0
01037,2009,0
01037,2010,0
01037,2011,0
01037,2012,0
01037,2013,0
01037,2014,0
01037,2022,0
01037,2023,0
01037,2024,0
01039,2022,8
01039,2023,12
01039,2024,12
01041,2022,2
01041,2023,0
01041,2024,3
01043,2022,576
01043,2023,391
01043,2024,233
01045,2022,64
01045,2023,94
01045,2024,57
01047,2022,24
01047,2023,16
01047,2024,5
01049,2022,116
01049,2023,197
01049,2024,65
01051,2022,178
01051,2023,166
01051,2024,88
01053,2022,13
01053,2023,21
01053,2024,14
01055,2022,212
01055,2023,194
01055,2024,161
01057,2022,0
01057,2023,0
01057,2024,0
01059,2022,15
01059,2023,12
01059,2024,10
01061,2022,34
01061,2023,32
01061,2024,26
01063,2022,10
01063,2023,13
01063,2024,3
01065,2022,224
01065,2023,52
01065,2024,16
01067,2022,52
01067,2023,56
01067,2024,60
01069,2022,677
01069,2023,551
01069,2024,483
01071,2022,47
01071,2023,42
01071,2024,31
01073,2004,8076
01073,2005,7210
01073,2006,6782
01073,2007,5001
01073,2008,4039
01073,2009,1964
01073,2010,1444
01073,2011,2985
01073,2012,4481
01073,2013,2907
01073,2014,4553
01073,2015,4846
01073,2016,3457
01073,2017,3043
01073,2018,3052
01073,2019,2611
01073,2020,3149
01073,2021,3112
01073,2022,4980
01073,2023,3288
01073,2024,2744
01075,2021,0
01075,2022,0
01075,2023,0
01075,2024,0
01077,2022,338
01077,2023,218
01077,2024,264
01079,2022,9
01079,2023,9
01079,2024,5
01081,2000,1148
01081,2001,1926
01081,2002,2598
01081,2003,1461
01081,2004,2335
01081,2005,3060
01081,2006,4408
01081,2007,2995
01081,2008,1668
01081,2009,2235
01081,2010,1942
01081,2011,1044
01081,2012,1412
01081,2013,1236
01081,2014,1518
01081,2017,1650
01081,2018,1749
01081,2019,3021
01081,2020,4116
01081,2021,3379
01081,2022,3220
01081,2023,2109
01081,2024,1863
01083,2015,205
01083,2016,229
01083,2017,319
01083,2018,304
01083,2019,556
01083,2020,969
01083,2021,1191
01083,2022,1608
01083,2023,977
01083,2024,722
01085,2022,0
01085,2023,0
01085,2024,0
01087,2004,26
01087,2022,9
01087,2023,3
01087,2024,3
01089,2015,4905
01089,2016,5710
01089,2017,5571
01089,2018,5511
01089,2019,6152
01089,2020,6346
01089,2021,5931
01089,2022,4854
01089,2023,9353
01089,2024,5592
01091,2022,0
01091,2023,0
01091,2024,0
01093,2022,92
01093,2023,2
01093,2024,0
01095,2022,276
01095,2023,228
01095,2024,221
01097,2022,1331
01097,2023,1751
01097,2024,2032
01099,2022,0
01099,2023,5
01099,2024,26
01101,2022,836
01101,2023,831
01101,2024,549
01103,2022,513
01103,2023,595
01103,2024,309
01105,2022,0
01105,2023,0
01105,2024,0
01107,2022,7
01107,2023,4
01107,2024,2
01109,2022,116
01109,2023,110
01109,2024,68
01111,2022,0
01111,2023,0
01111,2024,0
01113,2000,716
01113,2001,544
01113,2002,478
01113,2003,588
01113,2004,900
01113,2015,929
01113,2016,253
01113,2017,452
01113,2018,522
01113,2019,299
01113,2020,427
01113,2021,372
01113,2022,648
01113,2023,331
01113,2024,247
01115,2004,887
01115,2005,1509
01115,2006,1243
01115,2007,653
01115,2008,277
01115,2009,306
01115,2010,219
01115,2011,182
01115,2012,157
01115,2013,284
01115,2014,117
01115,2015,260
01115,2016,269
01115,2017,277
01115,2018,356
01115,2019,427
01115,2020,586
01115,2021,588
01115,2022,702
01115,2023,700
01115,2024,645
01117,2004,4388
01117,2005,3707
01117,2006,3470
01117,2007,3070
01117,2008,1220
01117,2009,966
01117,2010,777
01117,2011,639
01117,2012,781
01117,2013,1257
01117,2014,1266
01117,2015,1389
01117,2016,1571
01117,2017,1577
01117,2018,1441
01117,2019,1424
01117,2020,2277
01117,2021,2189
01117,2022,1738
01117,2023,2044
01117,2024,1213
01119,2022,3
01119,2023,2
01119,2024,2
01121,2022,241
01121,2023,338
01121,2024,212
01123,2004,87
01123,2022,275
01123,2023,241
01123,2024,242
01125,2000,1118
01125,2004,2358
01125,2022,1591
01125,2023,1077
01125,2024,620
01127,2004,222
01127,2005,105
01127,2006,102
01127,2007,171
01127,2008,57
01127,2009,30
01127,2010,26
01127,2011,22
01127,2012,19
01127,2013,20
01127,2014,14
01127,2015,27
01127,2016,16
01127,2017,18
01127,2018,5
01127,2019,59
01127,2020,101
01127,2021,76
01127,2022,108
01127,2023,120
01127,2024,48
01129,2022,1
01129,2023,0
01129,2024,0
01131,2022,0
01131,2023,1
01131,2024,2
01133,2022,3
01133,2023,0
01133,2024,1
02000,2000,NA
02000,2001,NA
02000,2002,NA
02000,2003,166
02000,2004,220
02000,2005,234
02000,2006,203
02000,2007,232
02000,2008,91
02000,2009,53
02000,2010,67
02000,2011,56
02000,2012,62
02000,2013,35
02000,2014,4
02013,2000,1
02013,2001,NA
02013,2002,2
02013,2003,7
02013,2004,6
02013,2005,1
02013,2006,0
02013,2007,10
02013,2008,0
02013,2009,0
02013,2010,0
02013,2011,0
02013,2012,0
02013,2013,0
02013,2014,0
02013,2015,4
02013,2016,0
02013,2017,0
02013,2018,4
02013,2019,0
02013,2020,0
02013,2021,2
02013,2022,0
02013,2023,0
02013,2024,0
02016,2000,68
02016,2001,NA
02016,2002,NA
02016,2003,12
02016,2004,13
02016,2005,8
02016,2006,9
02016,2007,6
02016,2008,4
02016,2009,2
02016,2010,14
02016,2011,1
02016,2012,1
02016,2013,2
02016,2014,1
02016,2015,3
02016,2016,4
02016,2017,6
02016,2018,7
02016,2019,5
02016,2020,3
02016,2021,6
02016,2022,3
02016,2023,0
02016,2024,0
02020,2000,2384
02020,2001,3894
02020,2002,3976
02020,2003,4774
02020,2004,3598
02020,2005,2997
